"Story","Title","Result","Date","Stability","Duration (s)"
"Posts CRUD test","Create a new post for the user","SUCCESS","2023-01-10T23:07:01.713Z[Europe/London]","0.0","19.57"
"Posts CRUD test","Verify that post was added for the user","SUCCESS","2023-01-10T23:07:21.418Z[Europe/London]","0.0","1.23"
"Posts CRUD test","Update the post title","SUCCESS","2023-01-10T23:07:22.650Z[Europe/London]","0.0","0.83"
"Posts CRUD test","Delete the post","SUCCESS","2023-01-10T23:07:23.503Z[Europe/London]","0.0","2.16"
"Tags test","Provide a 500 status code when incorrect HTTP method is used to access resource","FAILURE","2023-01-10T23:07:31.625Z[Europe/London]","0.0","1.07"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2023-01-10T23:07:32.722Z[Europe/London]","0.0","0.94"
"Users CRUD test","Create a new User","SUCCESS","2023-01-10T23:07:33.837Z[Europe/London]","0.0","0.95"
"Users CRUD test","Verify that user added successfully","SUCCESS","2023-01-10T23:07:34.790Z[Europe/London]","0.0","0.65"
"Users CRUD test","Update user details","SUCCESS","2023-01-10T23:07:35.448Z[Europe/London]","0.0","0.68"
"Users CRUD test","Delete the user","SUCCESS","2023-01-10T23:07:36.125Z[Europe/London]","0.0","2.1"
"Users data driven test","Data Driven test for adding multiple bookings to the application","SUCCESS","2023-01-10T23:07:41.921Z[Europe/London]","0.0","33.94"
"Testing different request on the gorest app","As a user I update a user with name","SUCCESS","2023-01-10T23:07:49.601Z[Europe/London]","0.0","0.67"
"Testing different request on the gorest app","As a user I delete a user","SUCCESS","2023-01-10T23:07:50.371Z[Europe/London]","0.0","1.24"
"Testing different request on the gorest app","As a user I am creating new users","SUCCESS","2023-01-10T23:07:51.935Z[Europe/London]","0.0","10.36"
